Number of variables,Number of clauses,result 7/8,time 7/8,result LSU,time LSU,result LSU interrupted
5,100,94,0.04594826698303223,94,0.012207984924316406,94
5,100,96,0.027060270309448242,96,0.004873752593994141,96
5,100,91,0.026576995849609375,92,0.013806343078613281,92
5,100,93,0.04160332679748535,93,0.015898466110229492,93
5,100,95,0.02993607521057129,95,0.01128387451171875,95
5,200,180,0.05822443962097168,188,0.015433073043823242,188
5,200,183,0.016991853713989258,186,0.008814573287963867,186
5,200,181,0.01169133186340332,183,0.0059375762939453125,183
5,200,182,0.012272357940673828,182,0.0167391300201416,182
5,200,185,0.011354923248291016,185,0.006381511688232422,185
5,300,275,0.020393848419189453,275,0.01496124267578125,275
5,300,272,0.017033100128173828,272,0.012595891952514648,272
5,300,273,0.016545772552490234,273,0.012176990509033203,273
5,300,274,0.016435861587524414,274,0.008742809295654297,274
5,300,270,0.016347885131835938,273,0.009665250778198242,273
5,400,360,0.022706270217895508,361,0.01876544952392578,361
5,400,364,0.02246260643005371,364,0.03505539894104004,364
5,400,359,0.021795272827148438,365,0.019160747528076172,365
5,400,355,0.022794008255004883,358,0.040194034576416016,358
5,400,369,0.02202630043029785,370,0.012502431869506836,370
5,500,452,0.02739405632019043,452,0.04987192153930664,452
5,500,458,0.027530431747436523,458,0.03116917610168457,458
5,500,452,0.027891874313354492,452,0.029093503952026367,452
5,500,447,0.027744054794311523,447,0.04935884475708008,447
5,500,450,0.03033447265625,450,0.0278470516204834,450
5,600,535,0.03339052200317383,541,0.04041266441345215,541
5,600,537,0.0353085994720459,539,0.039725542068481445,539
5,600,536,0.03298330307006836,538,0.03426623344421387,538
5,600,531,0.03611588478088379,543,0.06604933738708496,543
5,600,531,0.03372955322265625,538,0.0412294864654541,538
5,700,623,0.03735017776489258,626,0.05158519744873047,626
5,700,633,0.037152767181396484,633,0.0740203857421875,633
5,700,623,0.03946185111999512,630,0.08014440536499023,630
5,700,626,0.037683963775634766,629,0.05067610740661621,629
5,700,621,0.04005289077758789,623,0.06978988647460938,623
5,800,713,0.04409193992614746,722,0.09957575798034668,722
5,800,716,0.04366159439086914,716,0.08430027961730957,716
5,800,712,0.04705023765563965,714,0.08132719993591309,714
5,800,718,0.043534278869628906,718,0.08310794830322266,718
5,800,712,0.04390072822570801,717,0.08800101280212402,717
5,900,796,0.05002307891845703,807,0.12561655044555664,807
5,900,810,0.04993009567260742,810,0.10489416122436523,810
5,900,806,0.04930520057678223,806,0.10564398765563965,806
5,900,812,0.049103736877441406,812,0.11768460273742676,812
5,900,815,0.04904985427856445,815,0.1309812068939209,815
7,100,93,0.02495574951171875,93,0.003034353256225586,93
7,100,94,0.008882761001586914,94,0.0035943984985351562,94
7,100,93,0.008496999740600586,94,0.0026123523712158203,94
7,100,96,0.008164644241333008,96,0.0033702850341796875,96
7,100,93,0.008379459381103516,93,0.0022470951080322266,93
7,200,185,0.016352415084838867,185,0.007647275924682617,185
7,200,185,0.016722679138183594,190,0.005965709686279297,190
7,200,180,0.02250218391418457,183,0.00783848762512207,183
7,200,181,0.015900135040283203,183,0.008674144744873047,183
7,200,189,0.022924184799194336,189,0.009045124053955078,189
7,300,271,0.026324987411499023,280,0.053684234619140625,280
7,300,270,0.0281522274017334,279,0.016541242599487305,279
7,300,269,0.02542281150817871,274,0.014405012130737305,274
7,300,273,0.028411865234375,275,0.012845516204833984,275
7,300,276,0.025890111923217773,276,0.013333797454833984,276
7,400,361,0.03337430953979492,366,0.02552485466003418,366
7,400,357,0.03331112861633301,361,0.022857189178466797,361
7,400,362,0.1980302333831787,367,0.0828397274017334,367
7,400,360,0.029920339584350586,363,0.019460201263427734,363
7,400,364,0.030617475509643555,367,0.03678393363952637,367
7,500,456,0.03812718391418457,456,0.0361173152923584,456
7,500,449,0.03853297233581543,455,0.04736757278442383,455
7,500,443,0.03831934928894043,455,0.03167271614074707,455
