Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
5,100,94,0.006419658660888672,96
5,100,93,0.006720066070556641,93
5,100,91,0.005746126174926758,92
5,100,94,0.005823850631713867,94
5,100,95,0.0058329105377197266,95
5,200,178,0.011326074600219727,184
5,200,183,0.011013031005859375,183
5,200,184,0.011257410049438477,185
5,200,181,0.01128530502319336,183
5,200,185,0.01168513298034668,185
5,300,279,0.016889572143554688,279
5,300,269,0.016855478286743164,275
5,300,277,0.016756057739257812,277
5,300,274,0.01662421226501465,274
5,300,272,0.01881718635559082,272
5,400,362,0.023409128189086914,362
5,400,363,0.02203226089477539,363
5,400,363,0.023488759994506836,363
5,400,359,0.023085832595825195,360
5,400,366,0.022284269332885742,366
5,500,449,0.02793097496032715,449
5,500,449,0.027836322784423828,449
5,500,450,0.029969453811645508,451
5,500,449,0.03281831741333008,449
5,500,451,0.028494834899902344,451
5,600,543,0.034760236740112305,546
5,600,541,0.03349637985229492,543
5,600,540,0.033593177795410156,540
5,600,548,0.06303071975708008,548
5,600,535,0.04776930809020996,535
5,700,628,0.04038190841674805,630
5,700,627,0.04111170768737793,627
5,700,622,0.07711219787597656,626
5,700,623,0.07799935340881348,631
5,700,627,0.0812368392944336,631
5,800,717,0.08591270446777344,717
5,800,709,0.07454276084899902,713
5,800,723,0.06464171409606934,723
5,800,713,0.058832645416259766,713
5,800,714,0.04846787452697754,718
5,900,808,0.08898115158081055,808
5,900,815,0.04867744445800781,815
5,900,803,0.04860377311706543,803
5,900,805,0.05057239532470703,815
5,900,797,0.048770904541015625,811
7,100,94,0.00848078727722168,96
7,100,93,0.007742881774902344,94
7,100,96,0.007805347442626953,96
7,100,95,0.007842302322387695,95
7,100,90,0.00797891616821289,94
7,200,185,0.01574850082397461,187
7,200,183,0.015441179275512695,186
7,200,182,0.015343189239501953,184
7,200,185,0.0155029296875,185
7,200,182,0.015233278274536133,184
7,300,268,0.02300739288330078,273
7,300,269,0.023759841918945312,273
7,300,275,0.024918556213378906,275
7,300,274,0.024495601654052734,275
7,300,275,0.023418188095092773,278
7,400,362,0.030257225036621094,366
7,400,363,0.03273820877075195,365
7,400,366,0.030263900756835938,366
7,400,362,0.030385971069335938,363
7,400,364,0.029781341552734375,370
7,500,448,0.039252281188964844,451
7,500,457,0.03787541389465332,457
7,500,449,0.03781318664550781,453
7,500,453,0.03860116004943848,453
7,500,449,0.03760552406311035,452
7,600,554,0.04509615898132324,554
7,600,536,0.04503750801086426,542
7,600,539,0.0459895133972168,544
7,600,541,0.04621315002441406,545
7,600,537,0.045738935470581055,542
7,700,633,0.0526430606842041,633
7,700,631,0.053968191146850586,634
7,700,626,0.053411245346069336,634
7,700,623,0.053073883056640625,632
7,700,632,0.05185246467590332,635
7,800,721,0.0616302490234375,721
7,800,710,0.06899404525756836,719
7,800,713,0.05979418754577637,722
7,800,717,0.06013345718383789,726
7,800,723,0.10041189193725586,723
7,900,813,0.08008122444152832,813
7,900,802,0.07080793380737305,806
7,900,819,0.06834936141967773,819
7,900,800,0.06944155693054199,807
7,900,807,0.06955242156982422,811
9,100,95,0.010072708129882812,96
9,100,94,0.010302305221557617,96
9,100,95,0.010407447814941406,95
9,100,94,0.009689807891845703,95
9,100,94,0.009689807891845703,95
9,200,185,0.019153356552124023,185
9,200,183,0.019079923629760742,186
9,200,182,0.020734071731567383,186
9,200,190,0.01938605308532715,190
9,200,185,0.02082681655883789,188
9,300,272,0.029993057250976562,276
9,300,273,0.02895379066467285,279
9,300,274,0.02919793128967285,276
9,300,274,0.03169894218444824,279
9,300,274,0.029807567596435547,276
9,400,368,0.03899836540222168,370
9,400,358,0.03891873359680176,366
9,400,366,0.03962969779968262,368
9,400,364,0.03844571113586426,364
9,400,361,0.03892207145690918,366
9,500,454,0.049623727798461914,455
9,500,454,0.04881477355957031,457
9,500,457,0.049442291259765625,457
9,500,449,0.048120737075805664,460
