Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
5,100,94,0.005961179733276367,94,0.0014145374298095703
5,100,96,0.006243705749511719,96,0.0012750625610351562
5,100,91,0.005659341812133789,92,0.0015590190887451172
5,100,93,0.005725860595703125,93,0.0013458728790283203
5,100,95,0.005897998809814453,95,0.0012307167053222656
5,200,180,0.011499166488647461,188,0.002744436264038086
5,200,183,0.011262893676757812,186,0.0028095245361328125
5,200,181,0.011462688446044922,183,0.003305673599243164
5,200,182,0.011426448822021484,182,0.0034966468811035156
5,200,185,0.011801004409790039,185,0.003194570541381836
5,300,275,0.017313718795776367,275,0.005056619644165039
5,300,272,0.01834249496459961,272,0.005379915237426758
5,300,273,0.017419815063476562,273,0.005505084991455078
5,300,274,0.017346620559692383,274,0.00487208366394043
5,300,270,0.017801284790039062,273,0.00571751594543457
5,400,360,0.023536205291748047,361,0.007995367050170898
5,400,364,0.024895429611206055,364,0.007214546203613281
5,400,359,0.02317047119140625,365,0.007169485092163086
5,400,355,0.023030757904052734,358,0.008514881134033203
5,400,369,0.02327728271484375,370,0.006638288497924805
5,500,452,0.028855562210083008,452,0.009650707244873047
5,500,458,0.031008005142211914,458,0.010453462600708008
5,500,452,0.030449390411376953,452,0.01058340072631836
5,500,447,0.030640840530395508,447,0.011667728424072266
5,500,450,0.029169559478759766,450,0.012267351150512695
5,600,535,0.03630876541137695,541,0.01251363754272461
5,600,537,0.03486180305480957,539,0.014419317245483398
5,600,536,0.03536081314086914,538,0.01928424835205078
5,600,531,0.036390066146850586,543,0.012488126754760742
5,600,531,0.034713029861450195,538,0.01337575912475586
5,700,623,0.04094719886779785,626,0.019975900650024414
5,700,633,0.04111027717590332,633,0.015458345413208008
5,700,623,0.04085564613342285,630,0.01458430290222168
5,700,626,0.040711164474487305,629,0.015160799026489258
5,700,621,0.04079842567443848,623,0.019841670989990234
5,800,713,0.04739546775817871,722,0.019701719284057617
5,800,716,0.04658389091491699,716,0.020703792572021484
5,800,712,0.04561591148376465,714,0.021198034286499023
5,800,718,0.048314809799194336,718,0.019206523895263672
5,800,712,0.04651069641113281,717,0.02240586280822754
5,900,796,0.05288052558898926,807,0.023150205612182617
5,900,810,0.05340099334716797,810,0.02167367935180664
5,900,806,0.0527191162109375,806,0.02333688735961914
5,900,812,0.052195072174072266,812,0.024895906448364258
5,900,815,0.05311441421508789,815,0.02099442481994629
7,100,93,0.008351325988769531,93,0.002401113510131836
7,100,94,0.008180618286132812,94,0.0016598701477050781
7,100,93,0.007898569107055664,94,0.0015897750854492188
7,100,96,0.007938385009765625,96,0.001329183578491211
7,100,93,0.007792234420776367,93,0.0016775131225585938
7,200,185,0.016213655471801758,185,0.007450103759765625
7,200,185,0.016443490982055664,190,0.002660036087036133
7,200,180,0.01741957664489746,183,0.0041828155517578125
7,200,181,0.01641392707824707,183,0.005367755889892578
7,200,189,0.01713705062866211,189,0.0030603408813476562
7,300,271,0.024724960327148438,280,0.0053179264068603516
7,300,270,0.024880647659301758,279,0.006224393844604492
7,300,269,0.026177406311035156,274,0.007342338562011719
7,300,273,0.024997234344482422,275,0.00667262077331543
7,300,276,0.02431774139404297,276,0.006060123443603516
